	text	label
803	باتم، إندونيسيا، موڬديثهو، الصومال، زيامين، چينا دان نيامي، النيجر، دأڠڬڤ سباڬواي ساله سابوه كوتا داوڠان ڤرتومبوهن ڤندودوق ترباڬه ددنيا، داوڠان تيڠكت ڤرتومبوهن طان سراييك٥-٨%	ace_Arab
1070	بق طان كاو-٢٠، سيوجاروان ڤرانچيس فيرنن برااوديل ڬاو اوبه ڤاولجرن سيوجاره داوڠاون ڬاو ڤاكيق ايلمياي لاان لاڬاي ايكونومي، انتروڤولوڬي، ڬيوڬرافي بق بيولاجر سيوجاره عموم.	ace_Arab
1902	حال ڽو موجوق دوا ݢنرال-سيسي يڠ موبدا دري ڤونمباهن بيلڠن اصلي كو ترنسفينت۔	ace_Arab
605	اوكڽن ك ج ب ڤينجم سولاما ڤادوم اورو ساݢاي كو مڬم بق ثون ١٩٣٣ كو دبوت ڽن سيݢنيفيکن هيده هولليووود بق ڤيلم موسيكل ڽڠ ك سوكسس دانچيڠ لدي۔	ace_Arab
5949	ڽو دموڠكنكن لي ڤڠمبڠ ڤاوتومڤڠ ڤاي، ييڠ ماوترنسفير داي تولق ڬاوهن واتيه كاو ڤاونيڠڬ د لووا بنته	ace_Arab
3057	صوانسون اواينيان عىوکيرا جيىه جادىه ڤىنسيون باک دونيا اکتينع، تاڤيه اواکنيان مىونيکاه مىوعانععو لى الکوهوليسمى ضاۏىي کااوايکا.	ace_Arab
370	الڬوريتم اييوچليديان داڤت دڤاكيق اونتوق مڤسلسايكن ڤرسامأن ديوفانتين لينيار ڠن مسئله سيسا چينا اونتوق ڤولينوميال; ڤچاهن لنجوتن دري ڤولينوميال جوڬ جاوت ددفينيسيكن.	ace_Arab
869	باک تهون ١٩٣٠، مىوسىوجيد نيانع سىروڤا لاعىى ضجىننىيڤىوعوت باک کوتا فرىجوس ي باروه ڤىرانچيس.	ace_Arab
670	اوۏر ث هدڬ ڽن اداله کوميک سترڤ سنديكاسي يڠ ديتوله ل مچهل فري دان ديڬمب ل ت۔ لويس۔	ace_Arab
6139	واتىى تهون ١٩٥٠ان هانيا سىباعيان نيت مىسير حولو نيانع هانا يعانتوى إمڤىه (ترانسميسي مييوڤ) کىو يريعاسي کىوکاي (ترناسميسي لاعاک).	ace_Arab
5730	نڠرواي ڤلاڠ راييك لم دنيا لاڬاي ولايه ڬيوڬرافيس ڽن اداله روسيا، سيودڠكن يڠ ڤلاڠ ڤدت اداله چينا، د ايكوتي بوايت اينديا، اميريك سريكت، إندونيسيا، ڤاكستان، ڠن براسيل.	ace_Arab
2595	سباڬو جوابان كڤد ڤرڽاتأن ڬيل، ڤروفيسور دالم بيديڠ انتروڤولوڬي بيولوڬي چ.	ace_Arab
3388	ڠوڽىز.	ace_Arab
3257	عارىه ڤىرتاهانان لاىن يڤىوتهىون باهوا وبجىک ـ وبجىک ابستراک رىلىۏان دىنعون ڤىنالاران ماتىماتيس دىنعون چارا نونءچاسوال، نعىن هانا انالوع دىنعون ڤىرسىڤسي.	ace_Arab
5034	ليبيه درڤد ڽن، داتا ڬينوميك هنجيت ك سابوه هاي يڠ مننتوكن ڤاو كاوه سيدرو اوريڠ مهيت ڬاو كلان باڬين ﴿لاڬي سڤلايتر﴾ اتوا ڬاو اييو چونتينوم ﴿لاڬي لومڤر﴾.	ace_Arab
2105	د ايڠڬريه، ترنسيڤت لوبيه ڤنتيڠ، ڠن دناه الاي بياسا جيه لوبيه لياوڠكڤ دري بق د كتيدرال ڤرانچيس، داوڠان تمبهن كاڤيل لادي، چڤتر هواوس ساڬو لاڤن، ڠن ستروكتور لاان جيه ﴿ڠين داونه كتيدرال ساليسبوري ڠن يورق مينستير د باروه﴾	ace_Arab
4730	لادوم بنتوق سلك سا كسايمبڠن هان ماوهاسيكن فيكساسي، تاڤي ڬاڤاييوتيهاون الل بق فريكوينسي منڠه لم سابوه ڤوڤولسي	ace_Arab
2662	ستله جڠهيس خن ماونيڠڬاي بق طان ١٢٢٧، سيوباڬين راييك اسيا تاوڠإيه تروه ددوميناسي لي نڠڬرواي ڤاونايروه، چڬتاي خنات.	ace_Arab
4100	ڤىمبانعونان يمولا ١٩٩٥، لهىوىه ديڤىرکيراکان وص$٢٢٠ جوتا ابىه، کومڤلىک نيان يرىسميکان تانععاي ١٦ وکتوبىر٢٠٠٢.	ace_Arab
5017	لياوبيه ڤنتيڠ لوم، نا شيت ڤوتينسي جڠك ڤڽڠ يڠ ساڠت راييك ڬيت كاو ڤاراويسات ماوڤون ينۏيستاسي ﴿ كاسيماتي، ٢٠٠٣﴾	ace_Arab
391	"""اليرن """"مينور-تلك س"""" يڠ مان كن له سبواه اليرن ڤميكيرن يڠ اونيك، تاڤي ناكياوه سبواه فيلصفات يڠ دباڠون دڠون چارا ڬاو مشاوره بندوم ڤميكيرن دان برأصل دري اوريڠ-اوريڠ بياسا يڠ اوديڤ بق جالن."""	ace_Arab
2032	داسر-داسر تيكنيك ايليكترو بق طان ١٨٠٠-ان تاومساوق ڤروبأن السساندرو ۏول تا، ميچايل فارداي، ڬيورڬ اوهم ڠون لاان-لاان ڠون ڤنموان تيليڬرف ليستريك بق طان ١٨١٦ ڠون موتو ليستريك بق طان ١٨٧٢.	ace_Arab
2419	"""ريچق چولويل، ڠايتا تيم دييڤ چربون اوبسرۏتوري دري اوريڬون ستيت اونيۏرسيتي، ڬاڤاييوڬه بق ببچ: ""لون ڤيكي موڠكن اتامڠ اكاي كاو اسومسي بهوا ايوڤ ڤرموكأن ڤلانيت لاان ڠون بولاون ڽن جاوت دهوني، فون سيوباب تڽو كلاييوه تااييو د سينو د بومواي يڠ اورڬانيسمى جيه جاوت ماوفوڠسي جياوه دري چهاي مات اورواي ڬأوڤاك اينرڬي يڠ د ڤاوهاسي لڠسوڠ دري باتاي جياوه د يوڤ تانوه""."""	ace_Arab
19	"371-287 سم﴾، سيورياوڠ مهاسيسوا اريستوتيليس يڠ ڬاڤاييوتومياي ڠن ڬاو جلسكن لياو ڤرينسيڤ جيه دان سچارا لواه دأڠڬڤ لم كومونيتس علميه سيوباڬاي ""باڤق بوتاني"""	ace_Arab
2296	"""دي باڬين ماتيريال ڠن مأنسي دري مانيفيستو، نوبورو كاوذو مڽارنكن بهوا: ليه ڤندم بوه ديكداي، دڠين كماجوان ڤسات تيكنولوڬي كومونيكاسي، ستياڤ اوريڠ اكن نا """"ڤنريمنڬ ڬلومبڠ اوتاق""""د ڬلياوڠ جيه، ييڠ مڽمڤأيكن سيوچارا لڠسوڠ ڠن ڤه ڤاو اوريڠ لاان ماوڤيك جيه ڠن سيوباليق جيه."""	ace_Arab
